[2024-11-20 17:55:49:2945] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonMixinConfiguration'
[2024-11-20 17:55:49:3006] DEBUG 41716 --- [  restartedMain] _.s.w.s.HandlerMapping.Mappings      : 'resourceHandlerMapping' {/webjars/**=ResourceHttpRequestHandler [classpath [META-INF/resources/webjars/]], /**=ResourceHttpRequestHandler [classpath [META-INF/resources/], classpath [resources/], classpath [static/], classpath [public/], ServletContext [/]], /favicon.ico=ResourceHttpRequestHandler [classpath [static/favicon.ico]], /swagger-ui*/*swagger-initializer.js=ResourceHttpRequestHandler [classpath [META-INF/resources/webjars/]], /swagger-ui*/**=ResourceHttpRequestHandler [classpath [META-INF/resources/webjars/]]}
[2024-11-20 17:55:49:3008] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'defaultServletHandlerMapping'
[2024-11-20 17:55:49:3008] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'requestMappingHandlerAdapter'
[2024-11-20 17:55:49:3009] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcContentNegotiationManager'
[2024-11-20 17:55:49:3009] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcConversionService'
[2024-11-20 17:55:49:3009] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcValidator'
[2024-11-20 17:55:49:3025] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocConfiguration$OpenApiResourceAdvice'
[2024-11-20 17:55:49:3026] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'org.springdoc.core.configuration.SpringDocConfiguration$OpenApiResourceAdvice' via constructor to bean named 'org.springdoc.core.configuration.SpringDocConfiguration'
[2024-11-20 17:55:49:3031] DEBUG 41716 --- [  restartedMain] s.m.m.a.RequestMappingHandlerAdapter : ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
[2024-11-20 17:55:49:3061] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'handlerFunctionAdapter'
[2024-11-20 17:55:49:3063] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'mvcUriComponentsContributor'
[2024-11-20 17:55:49:3064] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'mvcUriComponentsContributor' via factory method to bean named 'mvcConversionService'
[2024-11-20 17:55:49:3064] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'mvcUriComponentsContributor' via factory method to bean named 'requestMappingHandlerAdapter'
[2024-11-20 17:55:49:3065] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'httpRequestHandlerAdapter'
[2024-11-20 17:55:49:3066] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'simpleControllerHandlerAdapter'
[2024-11-20 17:55:49:3066] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'handlerExceptionResolver'
[2024-11-20 17:55:49:3067] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'handlerExceptionResolver' via factory method to bean named 'mvcContentNegotiationManager'
[2024-11-20 17:55:49:3075] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'mvcViewResolver'
[2024-11-20 17:55:49:3075] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'mvcViewResolver' via factory method to bean named 'mvcContentNegotiationManager'
[2024-11-20 17:55:49:3077] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'viewNameTranslator'
[2024-11-20 17:55:49:3078] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'defaultViewResolver'
[2024-11-20 17:55:49:3082] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'viewResolver'
[2024-11-20 17:55:49:3083] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'viewResolver' via factory method to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@6edb9ffb'
[2024-11-20 17:55:49:3085] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'viewResolver'
[2024-11-20 17:55:49:3086] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocConfiguration$SpringDocSpringDataWebPropertiesProvider'
[2024-11-20 17:55:49:3087] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'springDataWebPropertiesProvider'
[2024-11-20 17:55:49:3088] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocConfiguration$WebConversionServiceConfiguration'
[2024-11-20 17:55:49:3088] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'webConversionServiceProvider'
[2024-11-20 17:55:49:3089] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'localSpringDocParameterNameDiscoverer'
[2024-11-20 17:55:49:3090] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'additionalModelsConverter'
[2024-11-20 17:55:49:3090] DEBUG 41716 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'additionalModelsConverter' via factory method to bean named 'springdocObjectMapperProvider'
